Concurso;1Dezena;2Dezena;3Dezena;4Dezena;5Dezena;6Dezena
861;42;40;60;59;47;39
862;19;35;12;2;11;8
863;32;53;50;57;15;24
864;31;11;33;42;57;8
865;27;23;41;51;26;53
866;36;48;27;40;5;46
867;54;26;28;19;44;10
868;57;51;21;22;25;40
869;29;42;50;51;49;27
870;52;8;43;34;40;21
871;17;5;58;1;47;10
872;18;55;58;43;31;5
873;57;59;4;34;19;30
874;59;20;52;42;44;10
875;53;18;36;58;24;20
876;4;12;41;45;60;8
877;13;15;20;31;28;36
878;37;12;43;38;11;54
879;29;10;46;35;42;28
880;51;30;49;25;37;46
881;43;24;4;51;18;56
882;42;45;44;60;41;17
883;21;37;60;32;52;53
884;22;11;2;14;39;12
885;13;4;31;33;47;51
886;50;55;37;33;59;17
887;44;12;32;21;1;34
888;50;24;40;54;52;60
889;34;54;20;39;60;24
890;9;21;22;7;17;54
891;15;22;19;35;34;16
892;1;49;52;42;19;44
893;56;53;51;26;18;3
894;37;24;44;28;20;41
895;2;55;41;43;57;58
896;31;11;41;35;22;5
897;21;57;46;22;7;43
898;4;8;3;54;45;30
;;;;;;
899;58;18;54;36;53;20
900;4;21;59;18;38;34
901;32;34;16;13;56;33
902;52;55;23;50;58;18
903;17;5;32;55;20;41
904;32;44;59;53;48;51
905;4;15;57;55;2;16
906;35;39;29;24;7;14
907;9;41;53;37;36;51
908;19;1;9;25;50;52
909;42;17;26;38;28;22
910;53;29;36;3;15;27
911;49;46;1;29;6;28
912;26;21;54;4;19;29
913;30;14;59;36;46;38
914;33;51;9;23;45;12
915;20;28;49;26;17;48
916;33;37;5;38;28;36
917;23;59;25;47;46;30
918;38;44;8;4;12;52
919;43;25;41;60;31;3
920;17;57;55;24;52;5
921;35;41;1;57;9;48
922;41;49;45;19;13;12
923;53;39;2;50;57;15
924;51;27;60;21;20;2
925;52;37;46;8;22;36
926;40;41;34;33;21;59
927;36;26;31;23;19;33
928;32;10;49;60;4;33
929;16;49;35;39;57;27
930;46;20;55;37;28;49
931;17;34;7;36;39;19
932;2;21;42;53;36;17
933;25;39;45;51;8;14
934;25;48;44;3;21;1
935;7;45;18;13;29;31
936;5;33;14;29;44;22
;;;;;;
937;22;41;2;30;21;52
938;35;15;27;57;50;59
939;6;23;19;50;37;49
940;25;33;51;31;5;37
941;11;15;10;27;60;53
942;5;52;18;8;59;42
943;47;41;58;3;23;12
944;16;58;43;37;52;59
945;44;8;59;54;4;27
946;59;1;47;5;52;12
947;33;11;3;58;14;5
948;22;44;41;46;52;54
949;44;1;51;52;41;23
950;48;59;49;41;42;23
951;49;24;39;34;55;14
952;54;11;27;18;2;30
